Country,Country Group,Region,Population,Note,Year,Romanization,Index,Name Group,Gender,Localized Name,Romanized Name
AD,1,,,,2018,N,1,N-AD-1-F-1,F,Martina,Martina
AD,1,,,,2018,N,2,N-AD-1-F-2,F,Emma,Emma
AD,1,,,,2018,N,3,N-AD-1-F-3,F,Jana,Jana
AD,1,,,,2018,N,4,N-AD-1-F-4,F,Lucia,Lucia
AD,1,,,,2018,N,1,N-AD-1-M-1,M,Iker,Iker
AD,1,,,,2018,N,2,N-AD-1-M-2,M,Leo,Leo
AD,1,,,,2018,N,3,N-AD-1-M-3,M,Martí,Martí
AD,1,,,,2018,N,4,N-AD-1-M-4,M,Biel,Biel
AD,1,,,,2018,N,5,N-AD-1-M-5,M,Dylan,Dylan
AD,1,,,,2018,N,6,N-AD-1-M-6,M,Jordi,Jordi
AD,1,,,,2018,N,7,N-AD-1-M-7,M,Marc,Marc
AE,1,Dubai,,,2015,N,1,N-AE-1-F-1,F,Mariam,Mariam
AE,1,Dubai,,,2015,N,2,N-AE-1-F-2,F,Sara,Sara
AE,1,Dubai,,,2015,N,3,N-AE-1-F-3,F,Sarah,Sarah
AE,1,Dubai,,,2015,N,4,N-AE-1-F-4,F,Fatima,Fatima
AE,1,Dubai,,,2015,N,5,N-AE-1-F-5,F,Fatma,Fatma
AE,1,Dubai,,,2015,N,6,N-AE-1-F-6,F,Ayesha,Ayesha
AE,1,Dubai,,,2015,N,7,N-AE-1-F-7,F,Noor,Noor
AE,1,Dubai,,,2015,N,1,N-AE-1-M-1,M,Mohammad,Mohammad
AE,1,Dubai,,,2015,N,2,N-AE-1-M-2,M,Ali,Ali
AE,1,Dubai,,,2015,N,3,N-AE-1-M-3,M,Omar,Omar
AE,1,Dubai,,,2015,N,4,N-AE-1-M-4,M,Ahmad,Ahmad
AE,1,Dubai,,,2015,N,5,N-AE-1-M-5,M,Ahmed,Ahmed
AE,1,Dubai,,,2015,N,6,N-AE-1-M-6,M,Abdulla,Abdulla
AE,1,Dubai,,,2015,N,7,N-AE-1-M-7,M,Abdullah,Abdullah
AL,1,,,,2019,N,1,N-AL-1-F-1,F,Amelia,Amelia
AL,1,,,,2019,N,2,N-AL-1-F-2,F,Ajla,Ajla
AL,1,,,,2019,N,3,N-AL-1-F-3,F,Aria,Aria
AL,1,,,,2019,N,4,N-AL-1-F-4,F,Amelja,Amelja
AL,1,,,,2019,N,5,N-AL-1-F-5,F,Leandra,Leandra
AL,1,,,,2019,N,6,N-AL-1-F-6,F,Ambra,Ambra
AL,1,,,,2019,N,7,N-AL-1-F-7,F,Klea,Klea
AL,1,,,,2019,N,8,N-AL-1-F-8,F,Melisa,Melisa
AL,1,,,,2019,N,9,N-AL-1-F-9,F,Amaris,Amaris
AL,1,,,,2019,N,10,N-AL-1-F-10,F,Reina,Reina
AL,1,,,,2019,N,1,N-AL-1-M-1,M,Noel,Noel
AL,1,,,,2019,N,2,N-AL-1-M-2,M,Aron,Aron
AL,1,,,,2019,N,3,N-AL-1-M-3,M,Joel,Joel
AL,1,,,,2019,N,4,N-AL-1-M-4,M,Roan,Roan
AL,1,,,,2019,N,5,N-AL-1-M-5,M,Amar,Amar
AL,1,,,,2019,N,6,N-AL-1-M-6,M,Mateo,Mateo
AL,1,,,,2019,N,7,N-AL-1-M-7,M,Alteo,Alteo
AL,1,,,,2019,N,8,N-AL-1-M-8,M,Roel,Roel
AL,1,,,,2019,N,9,N-AL-1-M-9,M,Luis,Luis
AL,1,,,,2019,N,10,N-AL-1-M-10,M,Dion,Dion
AM,1,,General population,,2020,N,1,N-AM-1-F-1,F,Anahit,Anahit
AM,1,,General population,,2020,N,2,N-AM-1-F-2,F,Gayane,Gayane
AM,1,,General population,,2020,N,3,N-AM-1-F-3,F,Anna,Anna
AM,1,,General population,,2020,N,4,N-AM-1-F-4,F,Karine,Karine
AM,1,,General population,,2020,N,5,N-AM-1-F-5,F,Hasmik,Hasmik
AM,1,,General population,,2020,N,6,N-AM-1-F-6,F,Lusine,Lusine
AM,1,,General population,,2020,N,7,N-AM-1-F-7,F,Susanna,Susanna
AM,1,,General population,,2020,N,8,N-AM-1-F-8,F,Armine,Armine
AM,1,,General population,,2020,N,9,N-AM-1-F-9,F,Narine,Narine
AM,1,,General population,,2020,N,10,N-AM-1-F-10,F,Lilit,Lilit
AM,1,,General population,,2020,N,1,N-AM-1-M-1,M,Armen,Armen
AM,1,,General population,,2020,N,2,N-AM-1-M-2,M,Artur,Artur
AM,1,,General population,,2020,N,3,N-AM-1-M-3,M,Karen,Karen
AM,1,,General population,,2020,N,4,N-AM-1-M-4,M,Samvel,Samvel
AM,1,,General population,,2020,N,5,N-AM-1-M-5,M,Gevorg,Gevorg
AM,1,,General population,,2020,N,6,N-AM-1-M-6,M,Ashot,Ashot
AM,1,,General population,,2020,N,7,N-AM-1-M-7,M,Davit,Davit
AM,1,,General population,,2020,N,8,N-AM-1-M-8,M,Arman,Arman
AM,1,,General population,,2020,N,9,N-AM-1-M-9,M,Hovhannes,Hovhannes
AM,1,,General population,,2020,N,10,N-AM-1-M-10,M,Gagik,Gagik
AM,2,,Babies born,,2021,N,1,N-AM-2-F-1,F,Nare,Nare
AM,2,,Babies born,,2021,N,2,N-AM-2-F-2,F,Maria,Maria
AM,2,,Babies born,,2021,N,3,N-AM-2-F-3,F,Arpi,Arpi
AM,2,,Babies born,,2021,N,4,N-AM-2-F-4,F,Maneh,Maneh
AM,2,,Babies born,,2021,N,5,N-AM-2-F-5,F,Angelina,Angelina
AM,2,,Babies born,,2021,N,6,N-AM-2-F-6,F,Mari,Mari
AM,2,,Babies born,,2021,N,7,N-AM-2-F-7,F,Eva,Eva
AM,2,,Babies born,,2021,N,8,N-AM-2-F-8,F,Mariam,Mariam
AM,2,,Babies born,,2021,N,9,N-AM-2-F-9,F,Anahit,Anahit
AM,2,,Babies born,,2021,N,10,N-AM-2-F-10,F,Sofi,Sofi
AM,2,,Babies born,,2021,N,1,N-AM-2-M-1,M,Davit,Davit
AM,2,,Babies born,,2021,N,2,N-AM-2-M-2,M,Narek,Narek
AM,2,,Babies born,,2021,N,3,N-AM-2-M-3,M,Monte,Monte
AM,2,,Babies born,,2021,N,4,N-AM-2-M-4,M,Tigran,Tigran
AM,2,,Babies born,,2021,N,5,N-AM-2-M-5,M,Areg,Areg
AM,2,,Babies born,,2021,N,6,N-AM-2-M-6,M,Hayk,Hayk
AM,2,,Babies born,,2021,N,7,N-AM-2-M-7,M,Mark,Mark
AM,2,,Babies born,,2021,N,8,N-AM-2-M-8,M,Mikayel,Mikayel
AM,2,,Babies born,,2021,N,9,N-AM-2-M-9,M,Aleks,Aleks
AM,2,,Babies born,,2021,N,10,N-AM-2-M-10,M,Areni,Areni
AR,1,,,,2020,N,1,N-AR-1-F-1,F,Emma,Emma
AR,1,,,,2020,N,2,N-AR-1-F-2,F,Olivia,Olivia
AR,1,,,,2020,N,3,N-AR-1-F-3,F,Martina,Martina
AR,1,,,,2020,N,4,N-AR-1-F-4,F,Isabella,Isabella
AR,1,,,,2020,N,5,N-AR-1-F-5,F,Alma,Alma
