Country,Rank,Index,Name Group,Localized Name,Romanized Name,Count,Percent
AM,1,1,AM-1,Գրիգորյան,Grigoryan,,
AM,2,2,AM-2,Հարությունյան,Harutyunyan,,
AM,3,3,AM-3,Սարգսյան,Sargsyan,,
AM,4,4,AM-4,Հովհաննիսյան,Hovhannisyan,,
AM,5,5,AM-5,Խաչատրյան,Khachatryan,,
AM,6,6,AM-6,Հակոբյան,Hakobyan,,
AM,7,7,AM-7,Պետրոսյան,Petrosyan,,
AM,8,8,AM-8,Վարդանյան,Vardanyan,,
AM,9,9,AM-9,Գեւորգյան,Gevorgyan,,
AM,10,10,AM-10,Կարապետյան,Karapetyan,,
AM,11,11,AM-11,Մկրտչյան,Mkrtchyan,,
AM,12,12,AM-12,Ղազարյան,Ghazaryan,,
AM,13,13,AM-13,Մանուկյան,Manukyan,,
AM,14,14,AM-14,Ավետիսյան,Avetisyan,,
AM,15,15,AM-15,Պողոսյան,Poghosyan,,
AM,16,16,AM-16,Մարտիրոսյան,Martirosyan,,
AM,17,17,AM-17,Սահակյան,Sahakyan,,
AM,18,18,AM-18,Առաքելյան,Arakelyan,,
AM,19,19,AM-19,Մարգարյան,Margaryan,,
AM,20,20,AM-20,Դավթյան,Davtyan,,
AZ,1,1,AZ-1,Məmmədov,Mammadov,,
AZ,2,2,AZ-2,Əliyev,Aliyev,,
AZ,3,3,AZ-3,Hüseynov,Huseynov,,
AZ,4,4,AZ-4,Həsənov,Hasanov,,
AZ,5,5,AZ-5,Quliyev,Guliyev,,
AZ,6,6,AZ-6,İsmayılov,Ismayilov,,
AZ,7,7,AZ-7,Əhmədov,Ahmadov,,
AZ,8,8,AZ-8,Abdullayev,Abdullayev,,
AZ,9,9,AZ-9,Abbasov,Abbasov,,
AZ,10,10,AZ-10,Cəfərov,Jafarov,,
BD,1,1,BD-1,আক্তার,Akter,,
BD,2,2,BD-2,ইসলাম,Islam,,
BD,3,3,BD-3,খাতুন,Khatun,,
BD,4,4,BD-4,হোসেন,Hossain,,
BD,5,5,BD-5,রহমান,Rahman,,
BD,6,6,BD-6,আহম্মেদ,Ahmed,,
KH,1,1,KH-1,កូយ,,,
